Punto,Lat,Lon,,
PULQUERIA EL PARAISO DE LA ABUELA,19.33997961,-99.04200621,19.3399-99.0420,1
PULQUERIA EL PULQUEZITO ELIXIR NACIONAL,19.43323543,-99.14438691,19.4332-99.1443,3
PULQUERIA EL QUITAPENAS,19.34836891,-99.31819319,19.3483-99.3181,1
PULQUERIA EL SOL SALE PARA TODOS,19.41356462,-99.1351039,19.4135-99.1351,1
PULQUERIA EL SPOT,19.25486048,-99.03445266,19.2548-99.0344,1
PULQUERIA EL TECOLOTE,19.36573233,-99.02227691,19.3657-99.0222,1
PULQUERIA EL TEMPLO DE DIANA,19.26131587,-99.10264427,19.2613-99.1026,1
PULQUERIA EL TRIUNFO,19.23554316,-99.00250797,19.2355-99.0025,1
PULQUERIA EL TRIUNFO,19.34275531,-99.04340867,19.3427-99.0434,1
PULQUERIA ELPARQUE,19.34596673,-99.00867762,19.3459-99.0086,1
PULQUERIA ESPIRITU SANTO,19.43751719,-99.14939154,19.4375-99.1493,1
PULQUERIA FRANCISCO,19.28563402,-99.11952124,19.2856-99.1195,1
PULQUERIA FRIDA,19.44454309,-99.14368579,19.4445-99.1436,1
PULQUERIA LA ANTIGUA ROMA,19.43961346,-99.13734524,19.4396-99.1373,1
PULQUERIA LA BONITA,19.45303604,-99.12339622,19.4530-99.1233,1
PULQUERIA LA BOTIJONA,19.25919697,-99.10531748,19.2591-99.1053,1
PULQUERIA LA COPA DE ORO,19.37284303,-99.19836234,19.3728-99.1983,1
PULQUERIA LA FUENTE DE LOS CHUPAMILTOS,19.42818388,-99.12347637,19.4281-99.1234,1
PULQUERIA LA GLORIA,19.39544816,-99.19390578,19.3954-99.1939,1
PULQUERIA LA GLORIA,19.37092745,-99.16202543,19.3709-99.1620,1
PULQUERIA LA GLORIA,19.35899991,-99.08777405,19.3589-99.0877,1
PULQUERIA LA GRAN LEONA,19.35046484,-99.03670405,19.3504-99.0367,1
PULQUERIA LA HERMOSA HORTENSIA,19.44090505,-99.13851702,19.4409-99.1385,1
PULQUERIA LA MADRIGUERA DE LA TIA CONEJA,19.2170946,-99.11510195,19.2170-99.1151,1
PULQUERIA LA MAEXICANA,19.34111598,-99.03261024,19.3411-99.0326,1
PULQUERIA LA NEGRA,19.23916076,-99.14385187,19.2391-99.1438,1
PULQUERIA LA PALOMA AZUL,19.36121282,-99.15165407,19.3612-99.1516,1
PULQUERIA LA PESCADORA,19.40625719,-99.07881145,19.4062-99.0788,1
PULQUERIA LA REINA,19.56244351,-99.13227861,19.5624-99.1322,1
PULQUERIA LA ROSITA,19.45185852,-99.19932398,19.4518-99.1993,1
PULQUERIA LA TORMENTA,19.30650421,-98.97757206,19.3065-98.9775,1
PULQUERIA LA VICTORIA,19.48063361,-99.11593948,19.4806-99.1159,1
PULQUERIA LAS CINCO MONAS,19.30988014,-99.15186333,19.3098-99.1518,1
PULQUERIA LAS CREMAS DE TACUBA,19.4571845,-99.19088743,19.4571-99.1908,1
PULQUERIA LAS DUELISTAS,19.43022357,-99.14271197,19.4302-99.1427,1
PULQUERIA LOS FAMOSOS DE LA FAMA 2,19.28832648,-99.23124365,19.2883-99.2312,1
PULQUERIA LOS HOMBRES SIN MIEDO,19.3925088,-99.12270679,19.3925-99.1227,1
PULQUERIA METZALTEPEC,19.31752583,-99.25641322,19.3175-99.2564,1
PULQUERIA NO ME OLVIDES,19.35823829,-99.03526977,19.3582-99.0352,1
PULQUERIA RALPH,19.25716945,-99.03968309,19.2571-99.0396,1
PULQUERIA SIN NOMBRE,19.33664384,-99.0590406,19.3366-99.0590,1
PULQUERIA SIN NOMBRE,19.34194054,-99.03806001,19.3419-99.0380,1
PULQUERIA VACAS VERDES,19.43774754,-99.14004823,19.4377-99.1400,1
PULQUERIA Y ANTOJERIA LOS QUETZALES,19.33379717,-99.17385784,19.3337-99.1738,1
PULQUES,19.48430595,-99.21054544,19.4843-99.2105,1
PULQUES,19.32340269,-99.09970565,19.3234-99.0997,1
PULQUES,19.45330777,-99.20181195,19.4533-99.2018,1
PULQUES CURADO Y NATURAL,19.33784782,-99.06092821,19.3378-99.0609,1
PULQUES DON CHAVA,19.20053213,-99.14192215,19.2005-99.1419,1
PULQUES DON RAFA,19.30980058,-99.081982,19.3098-99.0819,1
PULQUES EL RORRO,19.17605518,-99.03466678,19.1760-99.0346,1
PULQUES EL TANQUE,19.28222949,-99.00987074,19.2822-99.0098,1
PULQUES EL ZOTA,19.32349738,-99.09992524,19.3234-99.0999,1
PULQUES FERNANDOS,19.17637785,-98.99493092,19.1763-98.9949,1
PULQUES FINOS LA GALLINA DE LOS HUEVOS DE ORO,19.35143883,-99.0242407,19.3514-99.0242,1
PULQUES KEVIN,19.35093189,-99.02853606,19.3509-99.0285,1
PULQUES LA GUERA,19.49640316,-99.17372507,19.4964-99.1737,1
PULQUES LA LOTERIA,19.35051894,-99.02380074,19.3505-99.0238,1
PULQUES RANCHO EL COLGADO,19.31522094,-99.26824723,19.3152-99.2682,1
PULQUES Y MICHELADAS,19.38759805,-99.10631437,19.3875-99.1063,1
PULQUEZ A TU LADO,19.23965097,-99.10133415,19.2396-99.1013,1
PULUQERIA LA CONCENTIDA,19.48058631,-99.19005563,19.4805-99.1900,1
PUNTO ZERO,19.4285471,-99.13683071,19.4285-99.1368,1
PUSH CUAUHTEMOC,19.42557142,-99.1532095,19.4255-99.1532,1
QUE CHUPE LUPE,19.35624779,-99.09078517,19.3562-99.0907,1
QUEENS,19.4199073,-99.16396283,19.4199-99.1639,1
R Y R LIVE,19.39059334,-99.15656571,19.3905-99.1565,1
RB LA CANTINA,19.36700746,-99.07277543,19.3670-99.0727,1
REATURANTE BAR LAMBEAU DRINKS,19.46622691,-99.07158863,19.4662-99.0715,1
REBEL WINGS,19.37844526,-99.09580302,19.3784-99.0958,2
REICH BY WOLTERS,19.49099377,-99.13728805,19.4909-99.1372,1
RESTAURAMTE BARRIGON,19.37679638,-99.19909627,19.3767-99.1990,1
RESTAURAN BAR LA TAPATIA,19.44759843,-99.08927396,19.4475-99.0892,1
RESTAURANT BAR BAM BAM SNACKS,19.38919403,-99.21101789,19.3891-99.2110,1
RESTAURANT BAR BAMBOLEO,19.43054645,-99.15534492,19.4305-99.1553,1
RESTAURANT BAR EL DEPOSITO,19.41918292,-99.15575911,19.4191-99.1557,1
RESTAURANT BAR EL NUEVO CENTAURO,19.42323579,-99.13758861,19.4232-99.1375,1
RESTAURANT- BAR EL PECADO,19.43730567,-99.13755418,19.4373-99.1375,1
RESTAURANT BAR FAMILIAR TORINO,19.37434728,-99.01645362,19.3743-99.0164,1
RESTAURANT BAR LA DIANA CAZADORA POLITECNICO,19.47973205,-99.13554943,19.4797-99.1355,1
RESTAURANT BAR LA TERRAZA DE GENOVA,19.42698581,-99.16448007,19.4269-99.1644,1
RESTAURANT BAR LOS BALCONES,19.43079744,-99.14451888,19.4307-99.1445,1
RESTAURANT BAR MR DUCK,19.43389743,-99.13911935,19.4338-99.1391,5
RESTAURANT BAR SONORA 51,19.19017705,-99.02315015,19.1901-99.0231,1
RESTAURANT BAR THE SUITE,19.431578,-99.14541335,19.4315-99.1454,1
RESTAURANT COCOS,19.45129007,-99.08814559,19.4512-99.0881,1
RESTAURANT COLONIAL LA CORNETA,19.53267876,-99.15462748,19.5326-99.1546,1
RESTAURANT LA FAMA,19.44313502,-99.1505025,19.4431-99.1505,1
RESTAURANT ROBERTO BAR,19.44002235,-99.16918209,19.4400-99.1691,1
RESTAURANT SATANIC HOUSE,19.40385533,-99.17161868,19.4038-99.1716,1
RESTAURANT Y BAR BAHIA DE VIGO,19.42490708,-99.13967252,19.4249-99.1396,1
RESTAURANTE 100 MONTADITOS,19.36612495,-99.18237467,19.3661-99.1823,1
RESTAURANTE BAR,19.46536031,-99.16917808,19.4653-99.1691,1
RESTAURANTE BAR,19.42986395,-99.12348139,19.4298-99.1234,1
RESTAURANTE BAR ALAS SUSHI SHELAS,19.42228996,-99.16768168,19.4222-99.1676,1
RESTAURANTE BAR ARDALIO,19.40140206,-99.18464524,19.4014-99.1846,1
RESTAURANTE BAR BARZA,19.41153222,-99.17628315,19.4115-99.1762,1
RESTAURANTE BAR BELLA,19.30353966,-99.05686426,19.3035-99.0568,1
RESTAURANTE BAR CHARLY BIR HAUSE,19.34431232,-99.03095247,19.3443-99.0309,1
RESTAURANTE BAR COMICX,19.50302436,-99.20521224,19.5030-99.2052,3
RESTAURANTE BAR EL CICLO,19.43985281,-99.08033719,19.4398-99.0803,1
RESTAURANTE BAR EL DEPOSITO,19.42372424,-99.16979443,19.4237-99.1697,1
RESTAURANTE BAR EL LUGAR,19.46584772,-99.11688629,19.4658-99.1168,1
RESTAURANTE BAR EL PARAISO,19.45291583,-99.15916618,19.4529-99.1591,1
RESTAURANTE BAR EL RINCON BIQUINGO,19.40391026,-99.16930775,19.4039-99.1693,1
RESTAURANTE BAR EL RODEO,19.46095552,-99.10387039,19.4609-99.1038,1
RESTAURANTE BAR EQUINOX,19.45864649,-99.15766025,19.4586-99.1576,1
RESTAURANTE BAR FAMILIAR COSTA GRANDE,19.30073385,-99.05081484,19.3007-99.0508,1
RESTAURANTE BAR FAMILIAR LA TENTACION,19.28630867,-99.04466004,19.2863-99.0446,1
RESTAURANTE BAR GINOS EAST MEXICO,19.43248338,-99.15649853,19.4324-99.1564,1
RESTAURANTE BAR JENNY,19.44377215,-99.08673036,19.4437-99.0867,1
RESTAURANTE BAR LA BARRA DE LA PIEDAD,19.48935652,-99.10363568,19.4893-99.1036,1
RESTAURANTE BAR LA CABA—A SNAKS,19.42870893,-99.10951144,19.4287-99.1095,1
RESTAURANTE BAR LA CHULADA,19.35629161,-99.08695105,19.3562-99.0869,1
RESTAURANTE BAR LA DIANA CAZADORA DE COLON,19.43394205,-99.15473464,19.4339-99.1547,1
RESTAURANTE BAR LA ESQUINA DE ABOLENGO,19.43412018,-99.15567451,19.4341-99.1556,1
RESTAURANTE BAR LA ESTACI”N,19.29716567,-99.15168967,19.2971-99.1516,1
RESTAURANTE BAR LA FIESTA,19.43256719,-99.15961436,19.4325-99.1596,1
RESTAURANTE BAR LA GAVIOTA DEL SUR,19.3022742,-99.11335278,19.3022-99.1133,1
RESTAURANTE BAR LA HOUSE,19.29798005,-99.12497973,19.2979-99.1249,1
RESTAURANTE BAR LA ONZE,19.43266865,-99.15105053,19.4326-99.1510,1
RESTAURANTE BAR LA PACHANGA,19.38409635,-99.13122256,19.3840-99.1312,1
RESTAURANTE BAR LA QUIMERA,19.43658191,-99.15615414,19.4365-99.1561,1
RESTAURANTE BAR LA RODADA,19.31040995,-99.10826456,19.3104-99.1082,1
RESTAURANTE BAR LA ROSA,19.42378938,-99.13195673,19.4237-99.1319,2
RESTAURANTE BAR LAS ACOXPA,19.29606046,-99.13392695,19.2960-99.1339,1
RESTAURANTE BAR LAS ADELAS,19.31433995,-99.24224251,19.3143-99.2422,1
RESTAURANTE BAR LOS COMPADRES,19.44751783,-99.14209621,19.4475-99.1420,1
RESTAURANTE BAR MN ROY,19.41531168,-99.1564376,19.4153-99.1564,1
RESTAURANTE BAR MR LEE,19.43306034,-99.14247966,19.4330-99.1424,1
RESTAURANTE BAR PINEDA,19.44151152,-99.09212002,19.4415-99.0921,1
RESTAURANTE BAR QUE CRUDITA,19.29617648,-99.13423698,19.2961-99.1342,1
RESTAURANTE BAR THE DOCTOR,19.30869394,-99.2372119,19.3086-99.2372,1
RESTAURANTE BAR TORETTOS,19.28933776,-99.16632635,19.2893-99.1663,1
RESTAURANTE BAR URBAN ZONE,19.4345136,-99.17106846,19.4345-99.1710,1
RESTAURANTE CABALLERO,19.44623571,-99.08404674,19.4462-99.0840,1
RESTAURANTE CANTINA SERENO MORENO,19.40604295,-99.16119747,19.4060-99.1611,1
RESTAURANTE CHELATOS,19.43245948,-99.1699027,19.4324-99.1699,1
RESTAURANTE DAY LIGHT SALADS,10.25839375,-124.4455263,10.2583-124.445,1
RESTAURANTE EL DESVAN,19.4939842,-99.14943443,19.4939-99.1494,1
RESTAURANTE EL MESON DEL AMIGO,19.38385713,-99.06690113,19.3838-99.0669,1
RESTAURANTE EL PECADO DE NO…,19.4193845,-99.16695988,19.4193-99.1669,1
RESTAURANTE EL REBA—O SAGRADO,19.44395659,-99.14120432,19.4439-99.1412,1
RESTAURANTE EL TUCAN,19.24560992,-99.00317477,19.2456-99.0031,1
RESTAURANTE HABANA CAFE,19.48390603,-99.18589031,19.4839-99.1858,1
RESTAURANTE LA CASONA,19.35586892,-99.18488344,19.3558-99.1848,1
RESTAURANTE LA FLOR MIXTECA,19.42440158,-99.12609987,19.4244-99.1260,1
RESTAURANTE LA MORENA,19.39786815,-99.18319337,19.3978-99.1831,1
RESTAURANTE LA VENUS,19.4577164,-99.19202248,19.4577-99.1920,1
RESTAURANTE LAS BOLAS DE ORO,19.34433042,-99.03276368,19.3443-99.0327,1
RESTAURANTE LAS SILLAS,19.49453313,-99.14930074,19.4945-99.1493,1
RESTAURANTE MEZCALERO,19.34864326,-99.16192643,19.3486-99.1619,1
RESTAURANTE MONTEJO SURESTE,19.3473303,-99.18776989,19.3473-99.1877,1
RESTAURANTE PIANO BAR,19.29493306,-99.1252581,19.2949-99.1252,1
RESTAURANTE ROYAL KROX,19.35617396,-99.13527563,19.3561-99.1352,1
RESTAURANTE RUBENS,19.21795282,-98.99302442,19.2179-98.9930,1
RESTAURANTE SABOR DE CASA,19.31055493,-99.15670306,19.3105-99.1567,1
RESTAURANTE-BAR LAS FLORES,19.43018999,-99.12342948,19.4301-99.1234,2
RESTAURAT BAR EL MEDIO TIEMPO,19.35464756,-99.07530685,19.3546-99.0753,1
RESTAURAT BAR LCH,19.28276378,-99.17481422,19.2827-99.1748,1
RESTAURATE DE ALITAS DENOMINADO SUPER ALITAS,19.45334208,-99.09644717,19.4533-99.0964,1
RESTURANTE-BAR,19.42972674,-99.12345541,19.4297-99.1234,1
RICO PULQUE DE HIDALGO,19.33564031,-99.05766782,19.3356-99.0576,1
RINCON BOHEMIO DEL THRASHER,19.49099367,-99.14471055,19.4909-99.1447,1
ROCK HOUSE OBRERA,19.41373941,-99.1413874,19.4137-99.1413,1
RODEO LOCO,19.46860061,-99.17687203,19.4686-99.1768,1
RON Y BUENA VIDA,19.29991626,-99.11112952,19.2999-99.1111,1
SALON BAR PUEBLA,19.45291425,-99.16042876,19.4529-99.1604,1
SALON CANTINA CUAUHTEMOC,19.2601235,-99.10601316,19.2601-99.1060,1
SALON CANTINA ISABEL,19.43420744,-99.15746449,19.4342-99.1574,1
SALON CANTINA LA MASCOTA,19.45115725,-99.11540721,19.4511-99.1154,1
SALON CANTINA OLGA,19.44873302,-99.11077603,19.4487-99.1107,1
SALON CUITLAHUAC,19.4726972,-99.14317586,19.4726-99.1431,1
SALON SOL,19.43458872,-99.14394626,19.4345-99.1439,1
SALON VICTORIA,19.39543959,-99.13858842,19.3954-99.1385,1
SAMBUCA BAR,19.3385896,-99.1918124,19.3385-99.1918,1
SAN BARTOLO TEQUILERO,19.37196669,-99.17277925,19.3719-99.1727,1
SAN REMO BAR,19.43412004,-99.14266294,19.4341-99.1426,1
SANTAS ALITAS CUAUHTEMOC,19.42427641,-99.15355066,19.4242-99.1535,1
SERCH & RELAX,19.36044191,-99.24755587,19.3604-99.2475,1
SERVICIOS GASTRONOMICOS DUX,19.47993926,-99.18670205,19.4799-99.1867,1
SHOTERIA PRE,19.37144871,-99.18693626,19.3714-99.1869,2
SI HAY PULQUES,19.35250552,-99.31763484,19.3525-99.3176,1
SIETE VIDAS RESTAURANTE BAR,19.4115381,-99.17365631,19.4115-99.1736,1
SIGAMOS PECANDO,19.32776814,-99.06313847,19.3277-99.0631,1
SINATEC,19.42971598,-99.21104282,19.4297-99.2110,1
SNACK BAR,19.44184743,-99.18314572,19.4418-99.1831,2
SNACKS & BEER,19.34854513,-99.21710545,19.3485-99.2171,1
SNACKS BEER LOS CHAPULINES,19.34634608,-98.98851992,19.3463-98.9885,1
SNAK JULY VENTA DE MICHELADAS DE SABORES,19.30902468,-99.24637093,19.3090-99.2463,1
SOLSTICIO,19.37117744,-99.16787552,19.3711-99.1678,1
SPEED BEERS RESTAURANTE,19.33568033,-99.16529496,19.3356-99.1652,1
SPIRITU SANTO PULQUERIA,19.45090754,-99.15915003,19.4509-99.1591,2
STARDUST,19.44857833,-99.09572379,19.4485-99.0957,1
SUPER CHEVE,19.49362775,-99.19261749,19.4936-99.1926,1
SUPLEMENTOS Y CLUB DE NUTRICION,19.40890392,-99.07452169,19.4089-99.0745,1
TABERNA DE HOMERO,19.42955896,-99.18040909,19.4295-99.1804,1
TABERNA DEL PACIFICO,19.42700297,-99.16319388,19.4270-99.1631,1
TABERNA THE BEER BOX,19.37846313,-99.15840861,19.3784-99.1584,1
TACOS ASADERO LA CHIQUITA,19.45090861,-99.14138793,19.4509-99.1413,1
TAPIOCA BUBLE POP,19.38130069,-99.18008619,19.3813-99.1800,1
TAQUITOS BAR LAS CEBOLLITAS,19.38205,-99.17812035,19.3820-99.1781,1
TARROS,19.43691127,-99.15710851,19.4369-99.1571,2
TASAC BROWN,19.39569293,-99.15271327,19.3956-99.1527,1
TEATRO BAR EL VICIO,19.35745676,-99.16385585,19.3574-99.1638,1
TEPACHE Y AGUA SIN NOMBRE,19.48339591,-99.11788919,19.4833-99.1178,1
TEPACHERIA,19.40888149,-99.12327894,19.4088-99.1232,1
TEPACHERIA AMERICA,19.31492955,-99.10379004,19.3149-99.1037,1
TEPACHERIA EL OASIS,19.41429829,-99.1459988,19.4142-99.1459,1
TEPACHERIA JOVANNI 287 288,19.43998847,-99.11416917,19.4399-99.1141,1
TEPACHERIA NATY,19.4021506,-99.11769401,19.4021-99.1176,1
TEPACHES SAN GREGORIO ATLAPULCO,19.25533627,-99.05760212,19.2553-99.0576,1
TEQUILERA LA PERLA DE OCCIDENTE,19.41283703,-99.17285797,19.4128-99.1728,1
TERRAZA 5TA BAR JUAREZ,19.4345453,-99.14369463,19.4345-99.1436,2
TERRAZA APPLE,19.39264085,-99.10159058,19.3926-99.1015,1
TERRAZA BAR,19.33473954,-99.2721441,19.3347-99.2721,1
TERRAZA BLACK,19.35756754,-99.12237012,19.3575-99.1223,1
THAI GARDENS,19.4311517,-99.20228294,19.4311-99.2022,1
THE BEER BOX,19.3045201,-99.20508971,19.3045-99.2050,1
THE BEER BOX,19.42894151,-99.16858815,19.4289-99.1685,1
THE BEER COMPANY,19.36725624,-99.12216685,19.3672-99.1221,1
THE BEER COMPANY,19.43354606,-99.14554914,19.4335-99.1455,1
THE BEER COMPANY,19.30785,-99.12397699,19.3078-99.1239,2
THE BEER COMPANY BALMORI,19.39070395,-99.15051488,19.3907-99.1505,1
THE BEER COMPANY PATRIOTISMO,19.38877903,-99.18318333,19.3887-99.1831,1
THE BEERBOX DEL VALLE,19.36534683,-99.17652687,19.3653-99.1765,1
THE DOG HOUSE,19.42095897,-99.16649401,19.4209-99.1664,1
TIENDA  CHOPE,19.27287639,-99.08809278,19.2728-99.0880,1
TIENDA DE ARTESANIAS SABR¡ DIOS,19.41938918,-99.17616736,19.4193-99.1761,1
TOCINO PIG,19.29203052,-99.22179856,19.2920-99.2217,1
TOSTIRICO PALOMITAS,19.50091178,-99.20001394,19.5009-99.2000,1
TRADICIONAL CANTINA EL PUERTO DE BARCELONA,19.44161368,-99.12338149,19.4416-99.1233,1
VENTA DE ALIMENTOS Y CERVEZA EL CABECIN,19.39196137,-99.09311116,19.3919-99.0931,1
VENTA DE BEBIDAS Y BOTANAS,19.47694486,-99.21546732,19.4769-99.2154,1
VENTA DE CERVEZA EL BAR KITO DE YEN,19.20257371,-99.01586614,19.2025-99.0158,1
VENTA DE CERVEZAS PREPARADAS SIN NOMBRE,19.23386598,-99.11998578,19.2338-99.1199,1
VENTA DE EMPANADAS DE POLLO,19.38738493,-99.06701788,19.3873-99.0670,1
VENTA DE FRITURAS,19.36787601,-99.24459095,19.3678-99.2445,1
VENTA DE HOT CAKES,19.2520671,-99.0294901,19.2520-99.0294,1
VENTA DE MICHELADAS LAS MAMALONAS DE IVONNE,19.2843325,-99.27448806,19.2843-99.2744,1
VENTA DE MICHELADAS SIN NOMBRE,19.30837282,-98.97327054,19.3083-98.9732,1
VENTA DE MICHELADAS SIN NOMBRE,19.47415324,-99.21754026,19.4741-99.2175,1
VENTA DE PUILQUE,19.32256881,-99.04322066,19.3225-99.0432,1
VENTA DE PULQUE,19.22472184,-99.20690013,19.2247-99.2069,1
VENTA DE PULQUE,19.33449087,-99.02322748,19.3344-99.0232,1
VENTA DE PULQUE,19.27841718,-99.23172875,19.2784-99.2317,1
VENTA DE PULQUE,19.33033768,-99.2737425,19.3303-99.2737,1
VENTA DE PULQUE,19.22497488,-99.20940692,19.2249-99.2094,1
VENTA DE PULQUE,19.32718626,-99.06999183,19.3271-99.0699,1
VENTA DE PULQUE,19.45193846,-99.05862021,19.4519-99.0586,1
VENTA DE PULQUE,19.20015351,-99.14188037,19.2001-99.1418,1
VENTA DE PULQUE,19.35242327,-99.00419835,19.3524-99.0041,1
VENTA DE PULQUE LA BURRA PRIETA,19.24969421,-99.00931096,19.2496-99.0093,1
VENTA DE PULQUE LA CABA—A,19.28041146,-99.03142199,19.2804-99.0314,1
VENTA DE PULQUE LOS ALEBRIJES,19.27410292,-99.09530736,19.2741-99.0953,1
VENTA DE PULQUE ROMIS,19.23762513,-98.99675215,19.2376-98.9967,1
VENTA DE PULQUE SIN NOMBRE,19.5002121,-99.19868307,19.5002-99.1986,1
VENTA DE PULQUE SIN NOMBRE,19.28989047,-99.03262389,19.2898-99.0326,1
VENTA DE PULQUE TOMANDANCIA,19.29207882,-99.0286613,19.2920-99.0286,1
VENTA DE PULQUES,19.38232374,-99.06612512,19.3823-99.0661,1
VENTA DE PULQUES,19.31428206,-99.06976134,19.3142-99.0697,1
VENTA DE PULQUES SIN NOMBRE,19.54882513,-99.15131593,19.5488-99.1513,1
VENTA DE PULQUES SIN NOMBRE,19.29244659,-99.03249209,19.2924-99.0324,1
VENTA DE TEPACHE,19.33636835,-99.12304906,19.3363-99.1230,1
VIDEO BAR,19.41897548,-99.09648162,19.4189-99.0964,1
VIDEO YARDAS LA MESA DE GOMA,19.49291164,-99.09153223,19.4929-99.0915,1
VINGS CLUB,19.44128028,-99.15482027,19.4412-99.1548,1
VISTA CHELA LA CUEVA,19.41016741,-99.13516939,19.4101-99.1351,1
VORHAL,19.3531239,-99.1903267,19.3531-99.1903,1
VOY DE PASADA,19.33729683,-99.20590273,19.3372-99.2059,1
VULL WINS,19.35880916,-99.07152846,19.3588-99.0715,1
W. WINGS,19.41704129,-99.11257463,19.4170-99.1125,1
WAIKIKI TIKI ROOM,19.41787239,-99.15974335,19.4178-99.1597,1
WALLACE BAR,19.41283703,-99.17285797,19.4128-99.1728,2
WC Y TIENDA SEVEN CONEJOS,19.27756194,-99.08184306,19.2775-99.0818,5
WH FRAZER,19.2982006,-99.13107279,19.2982-99.1310,1
WING.STOP,19.50302436,-99.20521224,19.5030-99.2052,4
WINGS AMY,19.46105464,-99.14007945,19.4610-99.1400,2
WINGS AND BEER OF KINGS,19.33583929,-99.06552712,19.3358-99.0655,1
WINGS ARMY,19.41674264,-99.11881413,19.4167-99.1188,1
WINGS ARMY,19.42691915,-99.16337031,19.4269-99.1633,1
WINGS BAR,19.27710727,-99.17069755,19.2771-99.1706,1
XAMPA—ERIA DE GARCÕA,19.41292822,-99.17157678,19.4129-99.1715,1
YARDAS BAR,19.45569384,-99.12858468,19.4556-99.1285,1
ZINCO JAZZ CLUB,19.43413223,-99.13713679,19.4341-99.1371,1
ZONA DORADA,19.4345453,-99.14369463,19.4345-99.1436,3
